id,source,left_context,mention,right_context,nil_type
1,train,"Murray, who influenced his thinking in a direction less centered on race. He stated with regard to Murray's influence, I saw how important it is to",free yourself,"from ideology. When you look at things solely in terms of race or class, you miss what is really going on. He made a final, public bre",Non-Entity Phrase
3,train,"fe==In 1741 he published an Essay on Redemption, containing somewhat advanced views. Redemption as taught in Scripture means, according to him, the",deliverance,"or release of mankind from the power and punishment of sin, by the meritorious sufferings of Jesus Christ, but involves no translation o",Non-Entity Phrase
8,train,"ussanje rangalli and Beladingalante minu minuguta in the movie Psycho, which became a super-hit.She has sung title songs for the TV series Idhu oru",kaadhal,"kadhai, Edhir neechal, Chellamay Chellam and Magalir Mattum. She is also one of the lead vocalists in the popular series of albums Sacred Ch",Non-Entity Phrase
9,train,Civil War brought Virginia's internal problems with eastern and western conflicting state governmental needs to resolution. The early occupation of,the western lands,"by Union forces and Virginia's divided loyalties led to the formation of the new State of West Virginia, which was admitted to the",Non-Entity Phrase
10,train,==Track listing==# Goodbye Earl # Some Days You Gotta Dance # There's Your Trouble #,long time gone,"# Tortured, Tangled Hearts # Travelin' Soldier # Hello Mr. Heartache # Cold Day in July # White Trash Wedding # Lil' Jack Slade # A Home # If I Fall You're Going Down With Me # Cowboy Take Me Away",Missing Entity
15,train,"to make it to Shreveport, Louisiana, just across the Texas border in Northern Louisiana.The flight was operating near sundown which made visibility",even worse,coupled with the icy conditions. A fast moving cold front had pushed the icing conditions much further South than had been expected. The,Non-Entity Phrase
16,train,ntroversial statement 鈥渢he good will always prevail鈥?at the party after 2002 JSG award . The Fallen Has Prevailed The following day his comment was,taken out,"of context with news reports claiming that Siu's comments were made towards fellow singer Juno Mak, who was known for his wealthy father's",Non-Entity Phrase
17,train,"former scale. After the start of the Cultural Revolution in 1966, folk arts such as traditional lanterns were seen as part of the Four Olds. Thus,",the lantern,"market and fairs became prohibited. In 1977, the lantern market around the Confucius Temple opened for the first time after the Cultural",Non-Entity Phrase
18,train,"ur with Regent Morton.William Boyd, Calendar of State Papers Scotland: 1574-1581, vol. 5 (Edinburgh, 1907), pp. 1-2.During the crisis following the",border incident,"known as the Raid of the Redeswire, Regent Morton considered sending Elphinstone as an envoy to Queen Elizabeth, until her ambassado",Missing Entity
20,train,transitioned from being a penal colony to a free settlement. He later become the Resident Surgeon of the Moreton Bay General Hospital. He was also,the coroner,for the Brisbane district and the visiting surgeon of the gaol.On 8 August 1850 the immigrant ship Emigrant arrived in Moreton Bay with,Non-Entity Phrase
21,train,"vis expands Orlando Patterson's definition&amp;mdash;that of extreme permanent, violent, and personal domination of natally alienated and generally",dishonored,"persons鈥?amp;mdash;to incorporate the attribution to humans of 'animalization', which allows the master to deny any redeeming rational an",Non-Entity Phrase
22,train,"runs for 20 pages. The novel ends with 24 Polaroid photos provided by Luiselli, credited to the novel's fictional stepson.==Reception==According to",literary review,"aggregator Book Marks, the novel received overwhelmingly positive reviews.The book was named one of the top ten books of 2019 by the",Missing Entity
23,train,"ng him for aid in his various schemes to escape Pearl and be with Marina. Over the years he has come up with countless disguises, cover stories and",hideaways,"to allow him to see Marina, all of which have ultimately been doomed or exposed by Pearl. In their earlier appearances, they were frequent",Non-Entity Phrase
24,train,"do Vai-e-Volta, (1971). *História d'O Rei Degolado nas caatingas do sertão: ao sol da Onça Caetana, (1977).==Critical Study==*Ariano Suassuna : um",perfil,"biográfico, Adriana Victor, Juliana Lins. Rio de Janeiro: Zahar, c2007.==References====External links==* * * *",Non-Entity Phrase
26,train,"nd Boston.== See also ==* List of winners of the Boston Marathon== References ==== Further reading ==*Cataneo, David (April 21, 1986). “Taking some",giant steps,"for women: Gibb鈥檚 gallant 鈥?6 run鈥? The Boston Herald. *Derderian, Tom (1986). Boston Marathon: 100 Years of Blood, Sweat and Cheers. Tr",Non-Entity Phrase
32,train,money derivative securities (usually options) * X 鈥?Exercise of in-the-money or at-the-money derivatives securities (usually options)Other sections,16b,exempt transactions and small acquisition codes * G 鈥?Bona fide gift form of any clauses * L 鈥?Small acquisition * W 鈥?Acquisition or dispositio,Non-Entity Phrase
33,train,"ed being unable to get a fair trial after the war. McNeill aided Benjamin in escaping to the Bahamas. From there, Judah Benjamin sailed to England,",arriving,"with almost no resources. He went on to establish a distinguished second legal career in London, where in 1872 he was selected as Queen's C",Non-Entity Phrase
35,train,"ument to initiate real personal transformation. It empowers practitioners to perceive themselves in a direct, realistic, and undistorted way - from",moment to moment,in the here-and-now. The goal is the development of equanimity to counteract the habitual addictive attitude at the existential lev,Non-Entity Phrase
38,train,"able films in these years include the movie version of Rhinoceros (appearing with his Producers costar Gene Wilder), The Hot Rock and",the front,"(where he played Hecky Brown, a blacklisted performer whose story bears a similarity to Mostel's own, and for which he was nominated for",Missing Entity
40,train,Pavithiram is a village thendral Nagar this village first dtcp layout starting the,thendral,"Nagar layout only dtcp land in main road(Pavithrampudur Gram panchayat) in Senthamangalam Taluk, Namakkal district of Tamil Nadu state in India. Varagur is 1.5 kilometers, Erumaipatti is 8 kilometers and",Non-Entity Phrase
41,train,"==In this variant, the teams sing alternate lines from a song when advancing. As the word monme is sung, that team kicks into the air as if to kick",the dirt,into the opponents' faces.Lyrics: :(1) Katte ureshii hana ichi monme ::(2) Makete kuyashii hana ichi monme :(1) Ano ko ga hoshii ::(2) Ano,Non-Entity Phrase
42,train,"ection in 2016, she said, It was horrible. I felt that strongly affected emotionally for at least a month. My level of rage, always high, is now in",fever pitch,"all the time. She joked that If there's one upside to all this [Trump's election], it's that it's gotten Trump out of New York.Lebowitz",Non-Entity Phrase
44,train,"ot by John Wallace. Mr. Tom Bee crawls away, cursing John Wallace and refusing to give up calling him John.==Reception==In giving The Friendship, a",kirkus,"star, Kirkus Reviews wrote From its quiet beginning, the tension grows relentlessly in this brief, carefully designed story. and Ginsburg's b",Non-Entity Phrase
47,train,"ars and the Little Gidding community spread and they attracted visitors. King Charles I visited Little Gidding three times, including on 2 May 1646",seeking refuge,after the Royalist defeat at the Battle of Naseby and was given temporary refuge by John Ferrar.When Mary Ferrar died in 1634 she was,Non-Entity Phrase
